Prefix	Last	First	Suffix	FilingType	StateDst	Year	Filing Year	FilingDate	DocID	DisclosureType
HONORABLE	BASS	CHARLES F.		T	NH02	2013	2013	2/11/2013	8209823	FD
HONORABLE	BASS	KAREN		A	CA37	2013	2012	10/23/2019	9115509	FD
HONORABLE	BASS	KAREN		O	CA37	2013	2012	5/15/2013	8211963	FD
	BATES	CAROL M.		O	AC00	2013	2012	4/19/2013	8210841	FD
	BATES	CAROL M.		T	AC00	2013	2013	10/9/2013	8213220	FD
	BATES	DEBORAH A.		F	AO00	2013	2012	6/10/2013	8212238	FD
	BATTLE	GEORGE EDWARD	III	O	NC12	2013	2012	7/24/2013	8212685	FD
	BATTLES	CAROLINE		T	MO03	2013	2013	2/8/2013	8209824	FD
	BAUER	JOHN R.		O	LC00	2013	2012	5/23/2013	9102864	FD
	BAUGH	ROBERT P.		O	MN03	2013	2012	5/7/2013	8211125	FD
	BAUM	RAY		O	OR02	2013	2012	4/30/2013	8210967	FD
	BAUMGARDNER	JAMES R.		O	CB00	2013	2012	5/15/2013	8211684	FD
	BAYER	MARK D.		E	MA05	2013	2013	8/12/2013	8212894	FD
	BAYER	MARK D.		O	MA05	2013	2012	5/14/2013	8211545	FD
	BAYER	PHILIP K.		O	LG00	2013	2012	5/14/2013	8211546	FD
	BAYNE	IAN L.		D	IL11	2013	2013	6/19/2013	9103178	FD
	BAYNE	IAN L.		O	IL11	2013	2012	10/9/2013	8213194	FD
	BEALE	ANTHONY A.		O	IL02	2013	2012	2/14/2013	8209871	FD
	BEARD	CLAUDIA JEAN		X	NC04	2013	2012	5/17/2013	8210569	FD
	BEARD	CLAUDIA JEAN		O	NC04	2013	2012	8/13/2013	8212952	FD
HONORABLE	BEATTY	JOYCE		O	OH03	2013	2012	5/15/2013	8211967	FD
	BEAUBIAN	TRACI R.		O	AO00	2013	2012	5/16/2013	9102781	FD
	BEAUDOIN	GORDON		T	AO00	2013	2013	3/27/2013	8210021	FD
HONORABLE	BECERRA	XAVIER		X	CA34	2013	2012	5/16/2013	8210444	FD
HONORABLE	BECERRA	XAVIER		X	CA34	2013	2012	6/20/2013	9103152	FD
HONORABLE	BECERRA	XAVIER		O	CA34	2013	2012	6/28/2013	8212392	FD
	BEEMAN	EARL R.		O	WM00	2013	2012	5/14/2013	8211547	FD
	BEEUWKES BUNTIN	MELINDA J.		X	CB00	2013	2012	8/21/2013	8212992	FD
	BEEUWKES BUNTIN	MELINDA J.		A	CB00	2013	2012	7/2/2013	8212412	FD
	BEEUWKES BUNTIN	MELINDA J.		T	CB00	2013	2013	9/20/2013	8213128	FD
	BEEUWKES BUNTIN	MELINDA J.		T	CB00	2013	2013	12/23/2013	8213703	FD
